2016-04-18 13:26:43.877 | EnterForeground
2016-04-18 13:26:43.903 | GET | http://www.gannett-cdn.com/ads/application/7103/config.json?cachebust=482693203.902688
2016-04-18 13:26:43.903 | GET | http://www.gannett-cdn.com/ads/application/7103/config.json?cachebust=482693203.902688
2016-04-18 13:26:43.917 | GET | http://api.gannett-cdn.com/mobile/v4/fronts/1/life_mobile?consumer=ios_iphone&api_key=99saas9t656jt89x3dae4n2d
2016-04-18 13:26:43.917 | GET | http://api.gannett-cdn.com/mobile/v4/galleryAlbums/1410095,1571989,1411301,1411813?api_key=99saas9t656jt89x3dae4n2d&consumer=ios_iphone
2016-04-18 13:26:43.954 | POST | https://analytics.localytics.com/api/v2/applications/c289c3642a4c121f7abcf95-cd907c9e-7430-11e5-95b1-003e57fecdee/uploads
2016-04-18 13:26:43.958 | GET | https://analytics.localytics.com/api/v2/applications/c289c3642a4c121f7abcf95-cd907c9e-7430-11e5-95b1-003e57fecdee/amp
2016-04-18 13:26:43.963 | GET | https://device-api.urbanairship.com/api/user/mqoLizITSlG-EpspBt__nQ/messages/
2016-04-18 13:26:43.986 | GET | http://gannett.demdex.net/event?c_a_OSVersion=iOS%209.3.1&c_a_DaysSinceFirstUse=1&c_a_Resolution=750x1334&c_a_CarrierName=AT%26T&c_a_HourOfDay=13&c_a_AppID=AppWatch%204.0.0%20%284.0.0.199%29&c_a_DayOfWeek=2&c_a_LaunchEvent=LaunchEvent&c_a_DeviceName=iPhone7%2C2&c_a_Launches=12&c_a_PrevSessionLength=424&c_a_DaysSinceLastUse=0&c_a_locale=en-US&d_uuid=70749386725163185992904563775151194271&d_dpid=3054&d_dpuuid=56DF3396-FD08-4474-9284-8059693F9028&d_ptfm=ios&d_dst=1&d_rtbd=json
2016-04-18 13:26:44.078 | POST | http://repdata.usatoday.com/b/ss/gpapermobiletestsdk4/0/OIP-4.8.3/s16891904
2016-04-18 13:26:44.337 | AppDidBecomeActive
2016-04-18 13:26:44.338 | GET | https://accountsolution.usatoday.com/ios_universal/config/?externalConfig=true
2016-04-18 13:26:44.341 | GET | http://www.gannett-cdn.com/mobile/ios/usat/forcedUpdateConfig.json
2016-04-18 13:26:44.341 | GET | http://www.gannett-cdn.com/mobile/ios/usat/forcedUpdateConfig.json
2016-04-18 13:26:44.867 | GET | http://www.gannett-cdn.com/-mm-/bce2b6c1602a6530807536326a72e334ec129179/c=0-71-2785-3784&r=500x750/local/-/media/2016/04/17/USATODAY/USATODAY/635965331818679421-XXX-160417COACHELLARANCID-08-81304819.JPG
2016-04-18 13:26:45.587 | GET | http://api.gannett-cdn.com/mobile/v4/assets/1411301?consumer=ios_iphone&api_key=99saas9t656jt89x3dae4n2d
2016-04-18 13:26:45.588 | GET | http://api.gannett-cdn.com/mobile/v4/assets/1411301?consumer=ios_iphone&api_key=99saas9t656jt89x3dae4n2d
2016-04-18 13:26:45.589 | GET | http://api.gannett-cdn.com/mobile/v4/assets/1411301?consumer=ios_iphone&api_key=99saas9t656jt89x3dae4n2d
